timestamp,sample_index,CH1,CH2,CH3,CH4,trigger
2025-10-20T13:46:30.805391,0,2879,-4023,438,2905,0
2025-10-20T13:46:30.805423,1,49,-221,9,48,0
2025-10-20T13:46:30.805429,2,411,-1408,229,417,0
2025-10-20T13:46:30.805433,3,4290,-6131,798,4342,0
2025-10-20T13:46:30.805438,4,7764,-9792,865,7893,0
2025-10-20T13:46:30.805443,5,2640,-3703,417,2657,0
2025-10-20T13:46:30.805450,6,38,-185,7,37,0
2025-10-20T13:46:30.805458,7,490,-1483,272,496,0
2025-10-20T13:46:30.805463,8,4375,-6221,820,4427,0
2025-10-20T13:46:30.805468,9,7751,-9777,871,7878,0
2025-10-20T13:46:30.805472,10,2627,-3689,420,2644,0
2025-10-20T13:46:30.805477,11,36,-173,7,36,0
2025-10-20T13:46:30.805482,12,455,-1400,241,461,0
2025-10-20T13:46:30.805489,13,4460,-6340,815,4516,0
2025-10-20T13:46:30.805494,14,7884,-10033,879,8025,0
2025-10-20T13:46:30.805498,15,2717,-3804,429,2737,0
2025-10-20T13:46:30.805506,16,40,-187,8,39,0
2025-10-20T13:46:30.805510,17,495,-1473,265,501,0
2025-10-20T13:46:30.805514,18,4450,-6331,832,4505,0
2025-10-20T13:46:30.805522,19,7834,-9973,883,7974,0
2025-10-20T13:46:30.805539,20,2649,-3718,422,2669,0
2025-10-20T13:46:30.805544,21,36,-182,7,35,0
2025-10-20T13:46:30.805548,22,517,-1510,277,523,0
2025-10-20T13:46:30.805552,23,4560,-6444,845,4617,0
2025-10-20T13:46:30.805560,24,7877,-10000,893,8015,0
2025-10-20T13:46:30.894911,25,810,-2019,392,817,0
2025-10-20T13:46:30.894932,26,5034,-7032,879,5099,0
2025-10-20T13:46:30.894936,27,7977,-10367,896,8134,0
2025-10-20T13:46:30.894939,28,2686,-3783,430,2707,0
2025-10-20T13:46:30.894942,29,38,-190,8,37,0
2025-10-20T13:46:30.894944,30,512,-1523,286,518,0
2025-10-20T13:46:30.894947,31,4499,-6394,855,4557,0
2025-10-20T13:46:30.894951,32,7902,-10057,904,8047,0
2025-10-20T13:46:30.894953,33,2767,-3865,449,2788,0
2025-10-20T13:46:30.894957,34,46,-214,11,45,0
2025-10-20T13:46:30.894959,35,562,-1604,304,568,0
2025-10-20T13:46:30.894962,36,4615,-6543,868,4673,0
2025-10-20T13:46:30.894964,37,7952,-10206,909,8103,0
2025-10-20T13:46:30.894967,38,2780,-3892,449,2803,0
2025-10-20T13:46:30.894970,39,45,-222,11,44,0
2025-10-20T13:46:30.894973,40,566,-1630,313,573,0
2025-10-20T13:46:30.894976,41,4601,-6521,876,4659,0
2025-10-20T13:46:30.894978,42,7921,-10121,916,8066,0
2025-10-20T13:46:30.894981,43,2780,-3889,457,2801,0
2025-10-20T13:46:30.894984,44,50,-246,15,50,0
2025-10-20T13:46:30.894986,45,671,-1795,355,678,0
2025-10-20T13:46:30.894989,46,4833,-6771,895,4893,0
2025-10-20T13:46:30.894991,47,7970,-10201,920,8119,0
2025-10-20T13:46:30.894994,48,2750,-3850,451,2772,0
2025-10-20T13:46:30.894997,49,45,-229,12,45,0
2025-10-20T13:46:31.016848,50,8152,-10769,934,8336,0
2025-10-20T13:46:31.016861,51,3056,-4283,495,3091,0
2025-10-20T13:46:31.016865,52,69,-291,21,68,0
2025-10-20T13:46:31.016869,53,670,-1823,369,677,0
2025-10-20T13:46:31.016872,54,4765,-6719,906,4825,0
2025-10-20T13:46:31.016875,55,7983,-10265,933,8137,0
2025-10-20T13:46:31.016878,56,2778,-3885,460,2802,0
2025-10-20T13:46:31.016880,57,49,-259,16,49,0
2025-10-20T13:46:31.016883,58,726,-1892,386,733,0
2025-10-20T13:46:31.016886,59,4850,-6839,913,4912,0
2025-10-20T13:46:31.016889,60,8052,-10434,942,8216,0
2025-10-20T13:46:31.016892,61,2877,-4033,479,2904,0
2025-10-20T13:46:31.016894,62,54,-272,17,54,0
2025-10-20T13:46:31.016897,63,726,-1876,372,733,0
2025-10-20T13:46:31.016900,64,5016,-7038,922,5087,0
2025-10-20T13:46:31.016903,65,8103,-10560,948,8280,0
2025-10-20T13:46:31.016906,66,2862,-4003,474,2891,0
2025-10-20T13:46:31.016916,67,53,-284,18,53,0
2025-10-20T13:46:31.016919,68,800,-1994,395,807,0
2025-10-20T13:46:31.016922,69,5104,-7153,930,5177,0
2025-10-20T13:46:31.016924,70,8125,-10647,953,8308,0
2025-10-20T13:46:31.016927,71,2878,-4040,477,2909,0
2025-10-20T13:46:31.016930,72,55,-288,19,54,0
2025-10-20T13:46:31.016933,73,790,-1988,403,797,0
2025-10-20T13:46:31.016935,74,5069,-7146,934,5142,0
2025-10-20T13:46:31.104578,75,87,-450,41,87,0
2025-10-20T13:46:31.104593,76,1238,-2663,525,1247,0
2025-10-20T13:46:31.104596,77,5590,-7705,964,5668,0
2025-10-20T13:46:31.104600,78,8214,-10877,967,8409,0
2025-10-20T13:46:31.104602,79,2949,-4134,489,2983,0
2025-10-20T13:46:31.104605,80,65,-337,26,65,0
2025-10-20T13:46:31.104608,81,926,-2209,455,933,0
2025-10-20T13:46:31.104610,82,5273,-7419,957,5353,0
2025-10-20T13:46:31.104613,83,8254,-11055,975,8459,0
2025-10-20T13:46:31.104616,84,3066,-4300,508,3105,0
2025-10-20T13:46:31.104618,85,86,-434,39,86,0
2025-10-20T13:46:31.104621,86,1197,-2598,514,1205,0
2025-10-20T13:46:31.104624,87,5649,-7927,975,5736,0
2025-10-20T13:46:31.104626,88,8394,-11563,985,8616,0
2025-10-20T13:46:31.104629,89,3283,-4631,537,3332,0
2025-10-20T13:46:31.104632,90,116,-511,53,116,0
2025-10-20T13:46:31.104634,91,1331,-2789,555,1340,0
2025-10-20T13:46:31.104638,92,5778,-8120,982,5868,0
2025-10-20T13:46:31.104641,93,8452,-11750,991,8678,0
2025-10-20T13:46:31.104643,94,3392,-4781,555,3443,0
2025-10-20T13:46:31.104646,95,153,-649,75,154,0
2025-10-20T13:46:31.104648,96,1628,-3177,621,1638,0
2025-10-20T13:46:31.104651,97,6097,-8528,995,6190,0
2025-10-20T13:46:31.104654,98,8507,-12015,995,8738,0
2025-10-20T13:46:31.104656,99,3442,-4884,562,3499,0
2025-10-20T13:46:31.224857,100,6466,-9158,1018,6574,0
2025-10-20T13:46:31.224869,101,8658,-12804,999,8909,0
2025-10-20T13:46:31.224874,102,3742,-5361,595,3806,0
2025-10-20T13:46:31.224877,103,272,-935,144,274,0
2025-10-20T13:46:31.224880,104,2142,-3785,758,2154,0
2025-10-20T13:46:31.224884,105,6606,-9285,1026,6712,0
2025-10-20T13:46:31.224887,106,8645,-12748,1002,8898,0
2025-10-20T13:46:31.224890,107,3688,-5325,598,3755,0
2025-10-20T13:46:31.224894,108,362,-1225,209,366,0
2025-10-20T13:46:31.224897,109,2538,-4258,847,2551,0
2025-10-20T13:46:31.224900,110,6881,-9731,1035,6992,0
2025-10-20T13:46:31.224904,111,8723,-13143,1009,8978,0
2025-10-20T13:46:31.224907,112,3864,-5621,621,3933,0
2025-10-20T13:46:31.224910,113,481,-1495,261,486,0
2025-10-20T13:46:31.224913,114,2895,-4653,887,2908,0
2025-10-20T13:46:31.224916,115,7171,-10163,1046,7287,0
2025-10-20T13:46:31.224919,116,8805,-13611,1019,9063,0
2025-10-20T13:46:31.224922,117,4074,-6044,649,4146,0
2025-10-20T13:46:31.224925,118,611,-1770,306,617,0
2025-10-20T13:46:31.224928,119,3238,-5011,927,3251,0
2025-10-20T13:46:31.224930,120,7332,-10463,1058,7450,0
2025-10-20T13:46:31.224933,121,8868,-14051,1025,9129,0
2025-10-20T13:46:31.224936,122,4300,-6504,678,4376,0
2025-10-20T13:46:31.224939,123,880,-2285,437,888,0
2025-10-20T13:46:31.224942,124,3717,-5517,991,3731,0
2025-10-20T13:46:31.373272,125,4553,-6973,725,4635,0
2025-10-20T13:46:31.373287,126,1259,-2888,594,1269,0
2025-10-20T13:46:31.373291,127,4185,-5998,1040,4200,0
2025-10-20T13:46:31.373296,128,7817,-11214,1077,7947,0
2025-10-20T13:46:31.373299,129,8919,-14460,1038,9181,0
2025-10-20T13:46:31.373302,130,4366,-6650,690,4444,0
2025-10-20T13:46:31.373305,131,811,-2214,410,819,0
2025-10-20T13:46:31.373308,132,3526,-5324,988,3540,0
2025-10-20T13:46:31.373311,133,7570,-10793,1078,7692,0
2025-10-20T13:46:31.373313,134,8826,-13936,1041,9081,0
2025-10-20T13:46:31.373316,135,4039,-6045,658,4111,0
2025-10-20T13:46:31.373319,136,645,-1879,355,652,0
2025-10-20T13:46:31.373322,137,3167,-4955,964,3181,0
2025-10-20T13:46:31.373325,138,7290,-10364,1080,7406,0
2025-10-20T13:46:31.373327,139,8750,-13605,1046,8999,0
2025-10-20T13:46:31.373330,140,3860,-5695,642,3928,0
2025-10-20T13:46:31.373333,141,453,-1461,263,457,0
2025-10-20T13:46:31.373336,142,2705,-4460,908,2717,0
2025-10-20T13:46:31.373338,143,6962,-9829,1076,7070,0
2025-10-20T13:46:31.373341,144,8678,-13122,1050,8921,0
2025-10-20T13:46:31.373344,145,3706,-5384,622,3770,0
2025-10-20T13:46:31.373347,146,319,-1107,185,323,0
